source,target,score
A budget deficit occurs when expenditures exceed [MASK] [SEP] revenues,borrowing appropriations authorizations authorization inflation budgets financing budget taxes expenditure,0.2994479537010193 0.06685666739940643 0.006840952672064304 0.0049005430191755295 0.004319530911743641 0.002663013758137822 0.0022373448591679335
"Beginning in 1985, federal income taxes were [MASK] to the cost of living, so thatgovernment no longer got a larger percentage when inflation pushed incomes into higherbrackets while the tax rates stayed the same. [SEP] indexed",raised added lowered flat increased cut fixed set removed placed,0.1644825041294098 0.00623528053984046 0.0053327945061028 0.005159435793757439 0.0032144261058419943 0.00314686493948102 0.0028578685596585274
The purchasing of military hardware is known as [MASK] [SEP] procurement,regalia requisitioning appropriations mobilization regal re procurement authorization regulation actual,0.3168572187423706 0.1878385990858078 0.13467855751514435 0.010409059002995491 0.0065772999078035355 0.003288722364231944 0.0018956060521304607
"In 1965, [MASK] was added to the Social Security program to provide hospital and physiciancoverage to the elderly. [SEP] Medicare",Medplan Healthmark Medicaid disability med health medicare hospital medical non,0.39598560333251953 0.32977187633514404 0.11762303858995438 0.005642532836645842 0.003745428053662181 0.003517288016155362 0.002241195645183325
Budget [MASK] revises program authorizations to achieve required savings. [SEP] reconciliation ,impoundment realignment closure app imp real authorization re inter inc,0.24057237803936005 0.20912416279315948 0.1889684796333313 0.012971230782568455 0.009312767535448074 0.006029090844094753 0.004843406844884157
"An [MASK] bill is an act of Congress that establishes a discretionary government program oran entitlement, or that continues or changes such programs. [SEP] authorization",omnibus impoundment appropriations enabling imp authorization expenditure actual app inc,0.21343781054019928 0.1910545527935028 0.02635965682566166 0.019788634032011032 0.0028063065838068724 0.0018886578036472201 0.001692887512035668
"To actually fund a program, Congress must pass an [MASK] bill. [SEP] appropriations",authorization expenditure omnibus imp enabling appropriations app actual emergency inc,0.1695559024810791 0.0250422190874815 0.020435374230146408 0.003969771321862936 0.0015457015251740813 0.0011475745122879744 0.0009376736124977469
The Weberian theory of bureaucracies views them in the most positive light as [MASK] [SEP] hierarchical,acquisitive inefficient monopolistic democratic in mono ac con di democrat,0.46215546131134033 0.16572873294353485 0.1222781166434288 0.0384100116789341 0.013639249838888645 0.00664133345708251 0.006436706520617008
"There are roughly [MASK] civilian and military federal government employees [SEP] 4,000,000","800,000 3,000,000 2,100,000 3 2 800 500 5 4 1",0.35507574677467346 0.24364767968654633 0.09389791637659073 0.08572714030742645 0.047905657440423965 0.03669587895274162 0.018374266102910042
"Creating new agencies, developing guidelines, and coordinating resources to achieve a policygoal is called [MASK] [SEP] implementation",bureaucratization regulation actualization policy actual bureau implementation strategy government re,0.18884402513504028 0.1712314635515213 0.13768626749515533 0.005227421876043081 0.005099126603454351 0.005055914167314768 0.004886912181973457
Most of the government is composed of [MASK] [SEP] bureaucrats,regulators lawyers elected politicians legislators farmers federal industrialist democrats government,0.21162410080432892 0.014271629974246025 0.0037325972225517035 0.003674928331747651 0.0027331204619258642 0.002489536302164197 0.0023903558030724525
The entry point for most litigation in the federal courts is in one of the [MASK] courts. [SEP] district,appellate Superior legislative municipal superior regional federal commission township judicial,0.36636027693748474 0.21389056742191315 0.012349734082818031 0.006670557893812656 0.0052337017841637135 0.003893669229000807 0.0029306067153811455
The Supreme Court consists of the chief justice and [MASK] associate justices. [SEP] eight,ten six twelve nine three two seven five four eleven,0.2387356013059616 0.026513101533055305 0.023691942915320396 0.022851472720503807 0.017880290746688843 0.007320805452764034 0.006836703512817621
"Judicial [MASK] refers to how and whether court decisions are translated into real policy,affecting the behavior of others. [SEP] implementation ",restraint intent action review object regulation policy approach process jurisprudence,0.24432483315467834 0.006204540375620127 0.0045289332047104836 0.004454274661839008 0.0027860389091074467 0.0023820570204406977 0.0023219003342092037
The view that judges should play a minimal role in policymaking is called judicial [MASK] [SEP] restraint,jurisprudence precedent objectivity neutrality object restraint regulation policy action supremacy,0.2127353996038437 0.19779334962368011 0.009921175427734852 0.005012118723243475 0.004196369554847479 0.0033425677102059126 0.0030222951900213957
Inflation was generally highest during the [MASK] [SEP] 1970s,1930s 1960s 1980s 1990s 1970s 1890s 1940s 1920s 1790 decline,0.2067427635192871 0.022889500483870506 0.008517028763890266 0.008187567815184593 0.005948272068053484 0.002490958198904991 0.002461324678733945
About [MASK] of Americans recently reported that they agreed that   success in life is prettymuch determined by forces outside our control.   [SEP] two-thirds,one-tenth three-fourths one-half one seven three four two six five,0.3851539194583893 0.2609897255897522 0.24070432782173157 0.019079551100730896 0.01712030917406082 0.016908690333366394 0.01385639887303114
"The median American household income is approximately [MASK] [SEP] $46,000","$27,000 $32,000 $59,000 $ 10 50 27 32 ten 1",0.9973514080047607 0.00030465208692476153 0.00015921493468340486 0.00013672615750692785 8.809109567664564e-05 7.803612970747054e-05 6.913590914336964e-05
"If the government takes a bigger bite from the income of a rich family than from the income ofa poor family, then the tax system is [MASK] [SEP] progressive",proportional regressive redistributive reg red retro progressive e non re,0.49525487422943115 0.1885373443365097 0.14515447616577148 0.011277291923761368 0.008711948059499264 0.005573676433414221 0.003770834766328335
"If one person earns twice as much as another, but each pays 15 percent of their income intaxes, then the tax system is [MASK] [SEP] proportional",progressive regressive redistributive reg red e retro proportional non lump,0.6148210763931274 0.19615231454372406 0.03203277662396431 0.02935663051903248 0.013092699460685253 0.0033426107838749886 0.0026238192804157734
"If a poor family pays 50 percent of its income in taxes and a rich one 5 percent, then the taxsystem is [MASK] [SEP] regressive",progressive proportional redistributive red retro reg non e con democratic,0.2903471291065216 0.20223368704319 0.13308116793632507 0.005760870408266783 0.0026758897583931684 0.0021159332245588303 0.0016622703988105059
"To successfully dispose of nuclear wastes, they must be isolated from the environment for[MASK] years. [SEP] 10,000 ","100 1,000 5,000 ##1 ##5 ##100 ##2 ##0 000 500",0.44275519251823425 0.3476232886314392 0.12340034544467926 0.01054634153842926 0.009294403716921806 0.0077564166858792305 0.005028332117944956
The European Union is an example of a [MASK] organization. [SEP] regional ,nongovernmental domestic military diplomatic non local inter government regional un,0.34712326526641846 0.19919587671756744 0.00757106626406312 0.007533276453614235 0.00605736393481493 0.00519622303545475 0.004936929792165756
"Throughout most of American history, American foreign policy has centered on the concept of [MASK] [SEP] isolationism",brinkmanship containment McCarthyism mccarthy international brink imperialism coe isolation inter,0.4532434940338135 0.13983102142810822 0.06838908046483994 0.022683192044496536 0.01614471897482872 0.010527006350457668 0.010167136788368225
Defense spending now makes up about [MASK] of the federal budget. [SEP] one-fifth,one-third one-half three-fifths one three two four half seven five,0.7478183507919312 0.17327068746089935 0.024332914501428604 0.009137687273323536 0.007312301080673933 0.005333372857421637 0.004269806202501059
The international economy today is one characterized by [MASK] [SEP] interdependence,independence isolationism intransigence intra protection isolation inter mer bankruptcy non,0.39225831627845764 0.1946437954902649 0.1361425518989563 0.021798083558678627 0.008680193684995174 0.006113965529948473 0.004864781629294157
The one key word that could be used to describe today's international economy is [MASK] [SEP] interdependency,protectionism isolationism self-sufficiency bankruptcy isolation protection self non mer imperialism,0.3212567865848541 0.20578226447105408 0.16427746415138245 0.07353967428207397 0.030195202678442 0.014304164797067642 0.011740006506443024
The judicial branch in most states operates on a [MASK] system. [SEP] three-tier,single-level two-tier four-tier two single four circular three five six,0.3035377562046051 0.22860613465309143 0.18413498997688293 0.10954184830188751 0.021906469017267227 0.015079466626048088 0.014799597673118114
not one of the row officers who usually run county services is [MASK] of the following [SEP] commissioner,sheriff clerk assessor prosecutor assess commissioner justice elected executive office,0.27043482661247253 0.12223956733942032 0.006196055561304092 0.0038707549683749676 0.003240325255319476 0.0032341291662305593 0.0021869787015020847
"Particularly in rural areas, [MASK] government is the administrative arm of most stategovernments, keeping records of births, deaths, and marriages, conducting a system of justiceand law enforcement, maintaining roads and bridges, and providing other services. [SEP] county",regional municipal township commission legislative federal city county department local,0.22557875514030457 0.009004324674606323 0.005591541528701782 0.004729034379124641 0.003975031431764364 0.0025092896539717913 0.002300102263689041
All of the following were 20c art movements EXCEPT?: [MASK] [SEP] Impressionism,Bauhaus Dadaism Cubism cub dad ba expression romanesque neo manner,0.43644580245018005 0.14516061544418335 0.1406274139881134 0.13120397925376892 0.008275416679680347 0.006230186205357313 0.004747119266539812
Which of the following exerted the most influence on Italy in the eighteenth century?: [MASK] [SEP] Austrians,Dutch Spanish Turks english spanish turks dutch british greeks austrians,0.2553146183490753 0.25127390027046204 0.22120623290538788 0.11212677508592606 0.01432744599878788 0.008472596295177937 0.005290219094604254
"In the 18c, Europe\'s largest city was?: [MASK] [SEP] London",Berlin Vienna Paris paris berlin vienna rome budapest london madrid,0.2708388864994049 0.2676883637905121 0.1862400323152542 0.1461362987756729 0.010566570796072483 0.010109898634254932 0.0092984139919281
The artistic movement that replaced the Baroque during the Enlightenment was?: [MASK] [SEP] Rococo,Romanesque Neo-Classical Empirical neo romanesque empirical manner baroque classical egyptian,0.3151700794696808 0.305174857378006 0.12157252430915833 0.10870402306318283 0.00304843089543283 0.002733504166826606 0.0024572766851633787
Which communist country successfully asserted independence from Moscow\'s control soon after the end of the Second World War?: [MASK] [SEP] Yugoslavia,Bulgaria Poland Czechoslovakia czechoslovakia bulgaria poland hungary denmark italy austria,0.318905770778656 0.21218718588352203 0.1796068698167801 0.12935154139995575 0.013940300792455673 0.013771283440291882 0.011116334237158298
The first European country to enter into direct trade with the Far East and establish colonies there was?: [MASK] [SEP] Portugal,Spain France Britain holland spain britain france portugal england italy,0.31349170207977295 0.2901006042957306 0.15396682918071747 0.14130030572414398 0.017040761187672615 0.013251970522105694 0.012774947099387646
The Treaty of Tordesillas (1494) granted Portugal the eastern trade route to the Indies as well as Brazil; lands to the west of Brazil were given to?: [MASK] [SEP] Spain,England Italy France holland italy france england germany britain portugal,0.2596326470375061 0.22308702766895294 0.20451614260673523 0.15858496725559235 0.019744908437132835 0.018960967659950256 0.012986287474632263
"The best government, said which of the following men, is achieved by the separation of powers?: [MASK] [SEP] Montesqiueu",Locke Voltaire Diderot locke volta ho did tao cho co,0.3147723972797394 0.30545732378959656 0.15419751405715942 0.07266783714294434 0.008609896525740623 0.00343495630659163 0.002797911176458001
"The greatest number of victims under ""The Terror"" (1793-1794) were from which social group?: [MASK] [SEP] peasants",clergy nobility foreigners bourgeois priests peasants giggle merchants soldiers farmers,0.19499440491199493 0.003356439992785454 0.002489732578396797 0.0024677389301359653 0.002012403914704919 0.0018449086928740144 0.0017482074908912182
"By 1900, the leading industrial power in Europe was?: [MASK] [SEP] Germany",France Italy Britain britain italy france belgium spain sweden denmark,0.24681487679481506 0.20620837807655334 0.19770777225494385 0.17750319838523865 0.016325660049915314 0.013923818245530128 0.01181656215339899
The Quadruple Alliance included all of the following European powers EXCEPT?: [MASK] [SEP] Italy,Britain Austria Prussia prussia russia britain austria spain france holland,0.25422951579093933 0.24415414035320282 0.20692913234233856 0.1083126813173294 0.029347673058509827 0.026807453483343124 0.013832694850862026
Which country was NOT ruled by a member of the Bonaparte family during the first decade of the 19c?: [MASK] [SEP] Prussia,Holland Westphalia Poland spain holland westphalia poland denmark sweden france,0.28849753737449646 0.2751479744911194 0.1612047553062439 0.08286112546920776 0.02018466778099537 0.01671222597360611 0.01429821364581585
"Following the Thirty Years\' War, what country became dominant in Europe?: [MASK] [SEP] France",Sweden Spain Germany spain germany sweden bohemia italy holland russia,0.3829105794429779 0.2765626311302185 0.14394767582416534 0.0563955120742321 0.017399167641997337 0.012417766265571117 0.011913958005607128
The favorite classical author of Renaissance scholars was?: [MASK] [SEP] Cicero,Virgil Homer Plato plato virgil eu homer ph cicero greek,0.348919153213501 0.232915997505188 0.14134036004543304 0.11496918648481369 0.008033379912376404 0.007340568583458662 0.005273802671581507
The literary masterpiece that satirized the ideals of knighthood and chivalry was written by?: [MASK] [SEP] Cervantes,Rabelais Erasmus Castiglione cast erasmus petra ra volta ce plato,0.38763895630836487 0.3584370017051697 0.078695148229599 0.04745718464255333 0.005663670599460602 0.004918831400573254 0.0029243603348731995
The Austrian annexation of Bosnia in 1908 threatened the nationalist aspirations of which of the following countries?: [MASK] [SEP] Serbia,Turkey Rumania France rum turkey herzegovina france spain denmark syria,0.34941789507865906 0.1856572926044464 0.12491679936647415 0.10092374682426453 0.011597058735787868 0.01112957764416933 0.009217808023095131
"Which state existed in 1919, but NOT in 1914?: [MASK] [SEP] Poland",Denmark Sqitzerland Belgium denmark sweden belgium sq spain poland norway,0.3464045822620392 0.2867744266986847 0.14713183045387268 0.040309008210897446 0.021741202101111412 0.0170464925467968 0.009664985351264477
"Mark Twain's classic stories, such as Tom Sawyer and Huckleberry Finn, were primary examples of the ? trend in [MASK] [SEP] realistic",romantic gothic fantasy heroic romanesque drama realistic traditional manner fantasies,0.30976927280426025 0.01065883506089449 0.004004921298474073 0.0036267158575356007 0.002842556219547987 0.002575215417891741 0.0018384770955890417
Those who opposed ratification of the Constitution were called?: [MASK] [SEP] Anti-Federalists,Democrats Whigs Republicans federal democrats whig republicans democratic independents pop,0.33210834860801697 0.2654716372489929 0.1665087342262268 0.14482970535755157 0.009273570030927658 0.0044394894503057 0.003369607962667942
"            Let every nation know, whether it [MASK] [SEP] containment",colonialism neutrality non-involvement non colonial imperialism isolation socialism nationalism federal,0.4969218373298645 0.2505055069923401 0.013619540259242058 0.00795304961502552 0.004069865215569735 0.0034948065876960754 0.003346997546032071
The combination of European musical influences with African musical influences dame together in 1890s New Orleans to form a [MASK] [SEP] jazz,gospel folk country blues pop rock jazz classical opera traditional,0.09283982217311859 0.006214241962879896 0.003402367699891329 0.003243736457079649 0.003029660088941455 0.0022181570529937744 0.0015468065394088626
"In Congress, most of the criticism of the Mexican War came from the?: [MASK] [SEP] Whigs",Democrats Federalists Republicans democrats federal republicans pop whig democratic liberals,0.2859855592250824 0.25225913524627686 0.20185060799121857 0.13075554370880127 0.013623747043311596 0.005022209603339434 0.0048033809289336205
This Amendment to the Constitution abolished slavery?: [MASK] [SEP] Thirteenth,Twelfth Fourteenth Fifteenth sixteenth fourteenth fifteenth twelfth thirteenth nineteenth fifth,0.2856680452823639 0.24379225075244904 0.19372135400772095 0.16636575758457184 0.02320004068315029 0.010790832340717316 0.008876237086951733
"Before the Civil War, the movement for women's rights was particularly strong among the?: [MASK] [SEP] Quakers",Baptists Mormons Methodists methodist mormon catholics baptist quakers democrats whig,0.3038428723812103 0.2784392535686493 0.1781020611524582 0.12350919097661972 0.009021401405334473 0.00855331402271986 0.004829466808587313
"By the end of the 1920s, what had become the nation's largest industry?: [MASK] [SEP] automobiles",steel railroads oil chemicals metals petroleum coal oils water airplanes,0.3512331545352936 0.010761035606265068 0.008082874119281769 0.0077664293348789215 0.006838388741016388 0.0048631601966917515 0.004302635323256254
"[MASK] of map shows the most detailed information about earth s natural features , such as rivers , lakes , and mountain ranges [SEP] physical",political demographic weather geographic economic meteorological cultural geologic thermal atmospheric,0.02754243277013302 0.01339721865952015 0.009824694134294987 0.00916267465800047 0.008330577984452248 0.007311282679438591 0.0064119999296963215
"The slogan  Eight hours for work, eight hours for sleep, eight hours for what we will  was used in the late 1800s to promote a major goal of [MASK] [SEP] organized labor",farmers politicians industrialists industrialist elected government lawyers independents federal merchants,0.17485985159873962 0.017740095034241676 0.009839178062975407 0.003746525850147009 0.003338528797030449 0.0028881249018013477 0.002796916989609599
"At the beginning of World War II, national debate focused on whether the United States should continue the policy of [MASK] [SEP] isolationism",coexistence containment imperialism coe isolation inter mccarthy non communism international,0.396945059299469 0.012582140974700451 0.007536702789366245 0.004725352395325899 0.004475838970392942 0.0035311151295900345 0.002550549106672406
 Batista Driven from Power   Bay of Pigs Invasion Fails  [MASK] [SEP] Cuba,Canada Mexico Panama canada panama mexico spain cuba germany nicaragua,0.5240973830223083 0.16735094785690308 0.1437200903892517 0.016798855736851692 0.013972518034279346 0.013291130773723125 0.008943992666900158
"Mark Twain, Langston Hughes, and John Steinbeck made their most important contributions to the United States in the field of [MASK] [SEP] literature",music politics business drama architecture art poetry economics industry science,0.011686521582305431 0.008521498180925846 0.00677102617919445 0.005502121057361364 0.005192719399929047 0.004738268908113241 0.0038805606309324503
The Holocaust in Europe and the actions of the Khmer Rouge in Kampuchea (Cambodia) were similar in that they were examples of [MASK] [SEP] Genocide,Interdependence Segregation Empathy inter segregation empathy non isolation app re,0.6438277363777161 0.13401059806346893 0.1259174793958664 0.00643312418833375 0.005630679428577423 0.002094763331115246 0.0015349084278568625
"located closet to the philippines , malaysia , and indonesia is [MASK] of these nations [SEP] Vietnam",Korea Somalia Pakistan somalia korea pakistan india ethiopia afghanistan china,0.41710135340690613 0.28137269616127014 0.17847056686878204 0.006789131555706263 0.0054249451495707035 0.0041771335527300835 0.003893525805324316
  Statement A:   The might of a country consists of gaining surpluses of gold and silver. [MASK] [SEP] mercantile,traditional feudal command service land government military industrial actual mercantile,0.0021430847700685263 0.001335746026597917 0.0011411384912207723 0.0010632831836119294 0.000991999520920217 0.0008784070378169417 0.0008544991724193096
 Cavour Provokes War Against Austria    Mazzini Establishes Young Italy   [MASK] [SEP] nationalism,isolationism imperialism totalitarianism total isolation socialism colonial non communism mer,0.5384052991867065 0.20451568067073822 0.008544760756194592 0.007589317392557859 0.006432069465517998 0.005262838210910559 0.004265825264155865
[MASK] had the greatest influence on the development of social order and political organization [SEP] Confucianism,Taoism Shintoism Marxism tao marxism shin hinduism communism buddhism islam,0.5972650051116943 0.16944098472595215 0.12123313546180725 0.011183328926563263 0.008244992233812809 0.007216747850179672 0.003944265190511942
"The Koran, jihad, and the hegira are most closely associated with the practice of [MASK] [SEP] Islam",Judaism Shinto Buddhism buddhism judaism shin hinduism christianity islam jain,0.4441199004650116 0.28510573506355286 0.12932801246643066 0.025415170937776566 0.016484759747982025 0.014217888005077839 0.009004524908959866
" From as early as I can remember, the Emperor was an important presence even in our remote home.  He was a descendant of the gods from thousands of years before, never to be looked at or listened to by mere mortals, a presence to be revered and protected and obeyed Finally , my family and neighbors gathered around the radio and listened in stunned silence to the voice that had never before been heard, saying he was only human after all.  Everyone was crying.  I was sad and confused    [MASK] [SEP] Shintoism",Christianity Islam Judaism shin tao buddhism judaism mystic ##ism hinduism,0.22632113099098206 0.08474332094192505 0.07429518550634384 0.027909720316529274 0.026651903986930847 0.025829140096902847 0.024218767881393433
"The Eightfold Path, the Four Noble Truths, and the concept of nirvana are associated with the religion of [MASK] [SEP] Buddhism",Islam Jainism Shinto jain islam shin hinduism judaism buddhism tao,0.35666772723197937 0.2815254330635071 0.22075237333774567 0.02732902579009533 0.014811696484684944 0.011747611686587334 0.009908116422593594
" The Analects :    In his [the leader] personal conduct, he was respectful. [MASK] [SEP] law",anarchy trade architecture economics drama poetry medicine [PAD] politics government,0.0036950481589883566 0.0029206329490989447 0.0018920215079560876 0.0017753822030499578 0.001648436184041202 0.0014425505651161075 0.0010250582126900554
The Ancient Romans  most significant contribution to Europe has been in the area of [MASK] [SEP] law,economics poetry drama architecture politics art music anarchy literature logic,0.00883969385176897 0.003988289274275303 0.0026284039486199617 0.0024962490424513817 0.0017936581280082464 0.0017843043897300959 0.0017701741307973862
[MASK] established the basis of western democracy [SEP] Greek,Phoenician Egyptian Sumerian ph egyptian sum british hebrew gupta mongol,0.4357762038707733 0.372017502784729 0.09498182684183121 0.007498519029468298 0.007422235794365406 0.004732760600745678 0.0031144379172474146
 Western Europe owed a debt of gratitude to the Empire that for almost a thousand years ensured the survival of Christianity during a time when Europe was too weak to accomplish the task.  [MASK] [SEP] Byzantine,Hellenistic Mongol Ottoman ottoman hellenistic mongol british gupta byzantine roman,0.5526544451713562 0.17124779522418976 0.16309022903442383 0.016716880723834038 0.015113133937120438 0.005254559684544802 0.002437375718727708
Which empire introduced the Eastern Orthodox Church and the Cyrillic alphabet to Russia?  [MASK] [SEP] Byzantine,Mongol British Gupta gupta british mongol ottoman egyptian german hellenistic,0.4888080060482025 0.3699500858783722 0.06836506724357605 0.005028461571782827 0.0044870320707559586 0.0033951764926314354 0.0032286501955240965
a major characteristic of the renaissance was [MASK] [SEP] humanism,conformity mysticism obedience mystic conform ego sincerity romanesque human integrity,0.47550612688064575 0.21652379631996155 0.0034957551397383213 0.0028267577290534973 0.0016414145939052105 0.0013712720246985555 0.0012589027173817158
Which revolution inspired Karl Marx and Friedrich Engels to express their ideas in The Communist Manifesto?  [MASK] [SEP] Industrial,Scientific Glorious Neolithic neolithic glorious scientific industrial technological ancient subsistence,0.5806084871292114 0.19521383941173553 0.13064831495285034 0.005019921809434891 0.004767068196088076 0.0020176961552351713 0.0017849444411695004
"British control over South Africa, French control over Indochina, and Spanish control over Mexico are examples of [MASK] [SEP] imperialism",isolationism appeasement nonalignment non isolation app inter socialism segregation empathy,0.4872343838214874 0.24341177940368652 0.1289982944726944 0.014751039445400238 0.01088001299649477 0.005570544861257076 0.005372082348912954
"In the past, European nations have conquered other lands, made them into colonies, and controlled their economies. [MASK] [SEP] imperialism",socialism isolationism monotheism isolation mono communism imperialism non nationalism mer,0.3704835772514343 0.08125097304582596 0.038769714534282684 0.026690874248743057 0.01385386474430561 0.009083849377930164 0.004317575599998236
"Throughout the 1800 s, an increased need for both raw materials and new markets for manufactured goods led various European nations to pursue policies of [MASK] [SEP] imperialism",socialism isolationism communism isolation imperialism colonial nationalism non industrial mer,0.3382264971733093 0.01822175271809101 0.00812339037656784 0.004269748460501432 0.003813218092545867 0.003129588905721903 0.00266542611643672
" , you, Africa, suffered like a beast  Your ashes strewn to the wind that roams the desert,  [MASK] [SEP] imperialism",communism nationalism regionalism regional socialism colonial fascism imperialism isolation pan,0.22748008370399475 0.008377878926694393 0.006852484308183193 0.0062372260726988316 0.0044828117825090885 0.0032370728440582752 0.002434325171634555
" We believe in nonaggression and noninterference by one country in the affairs of another and the growth of tolerance between them and the capacity for peaceful coexistence.  We, therefore, endeavor to maintain friendly relations with all countries, even though we may disagree with them in their policies.  [MASK] [SEP] nonalignment",imperialism mercantilism isolationism isolation non mer inter neutrality app total,0.28472834825515747 0.054095130413770676 0.03440334275364876 0.030341651290655136 0.016041528433561325 0.015928877517580986 0.014539914205670357
" If we are to remain free, if we are to enjoy the full benefits of Africa s enormous wealth, we must unite to plan for the full exploitation of our human and material resources in the interest of all our people  [MASK] [SEP] Pan-Africanism",colonialism imperialism urbanization colonial urban pan communism isolation nationalism industrial,0.34655246138572693 0.06427717208862305 0.011567446403205395 0.009079350158572197 0.00874239020049572 0.007770209573209286 0.00726346205919981
"The Middle Eastern leaders Kemal Ataturk, David Ben-Gurion, and Yasir Arafat are best known for their support of [MASK] [SEP] nationalism",fascism colonialism communism colonial imperialism socialism isolation pan nationalism industrial,0.37390586733818054 0.024407895281910896 0.01322253979742527 0.009913794696331024 0.00878986343741417 0.004363243002444506 0.004038679879158735
" The time has come for you to go  Live where you like, but not among us...  [MASK] [SEP] nationalism",socialism absolutism humanitarianism abs humanitarian communism imperialism isolation nationalism industrial,0.24810129404067993 0.11905835568904877 0.010673060081899166 0.0059335194528102875 0.004856758285313845 0.004827159456908703 0.004328044597059488
The Holocaust in Europe and the actions of the Khmer Rouge in Kampuchea (Cambodia) were similar in that they were examples of [MASK] [SEP] Genocide,Interdependence Segregation Empathy inter segregation empathy non isolation app re,0.6438277363777161 0.13401059806346893 0.1259174793958664 0.00643312418833375 0.005630679428577423 0.002094763331115246 0.0015349084278568625
"located closet to the philippines , malaysia , and indonesia is [MASK] of these nations [SEP] Vietnam",Korea Somalia Pakistan somalia korea pakistan india ethiopia afghanistan china,0.41710135340690613 0.28137269616127014 0.17847056686878204 0.006789131555706263 0.0054249451495707035 0.0041771335527300835 0.003893525805324316
  Statement A:   The might of a country consists of gaining surpluses of gold and silver. [MASK] [SEP] mercantile,traditional feudal command service land government military industrial actual mercantile,0.0021430847700685263 0.001335746026597917 0.0011411384912207723 0.0010632831836119294 0.000991999520920217 0.0008784070378169417 0.0008544991724193096
 Cavour Provokes War Against Austria    Mazzini Establishes Young Italy   [MASK] [SEP] nationalism,isolationism imperialism totalitarianism total isolation socialism colonial non communism mer,0.5384052991867065 0.20451568067073822 0.008544760756194592 0.007589317392557859 0.006432069465517998 0.005262838210910559 0.004265825264155865
[MASK] had the greatest influence on the development of social order and political organization [SEP] Confucianism,Taoism Shintoism Marxism tao marxism shin hinduism communism buddhism islam,0.5972650051116943 0.16944098472595215 0.12123313546180725 0.011183328926563263 0.008244992233812809 0.007216747850179672 0.003944265190511942
"The Koran, jihad, and the hegira are most closely associated with the practice of [MASK] [SEP] Islam",Judaism Shinto Buddhism buddhism judaism shin hinduism christianity islam jain,0.4441199004650116 0.28510573506355286 0.12932801246643066 0.025415170937776566 0.016484759747982025 0.014217888005077839 0.009004524908959866
" From as early as I can remember, the Emperor was an important presence even in our remote home.  He was a descendant of the gods from thousands of years before, never to be looked at or listened to by mere mortals, a presence to be revered and protected and obeyed Finally , my family and neighbors gathered around the radio and listened in stunned silence to the voice that had never before been heard, saying he was only human after all.  Everyone was crying.  I was sad and confused    [MASK] [SEP] Shintoism",Christianity Islam Judaism shin tao buddhism judaism mystic ##ism hinduism,0.22632113099098206 0.08474332094192505 0.07429518550634384 0.027909720316529274 0.026651903986930847 0.025829140096902847 0.024218767881393433
"The Eightfold Path, the Four Noble Truths, and the concept of nirvana are associated with the religion of [MASK] [SEP] Buddhism",Islam Jainism Shinto jain islam shin hinduism judaism buddhism tao,0.35666772723197937 0.2815254330635071 0.22075237333774567 0.02732902579009533 0.014811696484684944 0.011747611686587334 0.009908116422593594
" The Analects :    In his [the leader] personal conduct, he was respectful. [MASK] [SEP] law",anarchy trade architecture economics drama poetry medicine [PAD] politics government,0.0036950481589883566 0.0029206329490989447 0.0018920215079560876 0.0017753822030499578 0.001648436184041202 0.0014425505651161075 0.0010250582126900554
The Ancient Romans  most significant contribution to Europe has been in the area of [MASK] [SEP] law,economics poetry drama architecture politics art music anarchy literature logic,0.00883969385176897 0.003988289274275303 0.0026284039486199617 0.0024962490424513817 0.0017936581280082464 0.0017843043897300959 0.0017701741307973862
[MASK] established the basis of western democracy [SEP] Greek,Phoenician Egyptian Sumerian ph egyptian sum british hebrew gupta mongol,0.4357762038707733 0.372017502784729 0.09498182684183121 0.007498519029468298 0.007422235794365406 0.004732760600745678 0.0031144379172474146
 Western Europe owed a debt of gratitude to the Empire that for almost a thousand years ensured the survival of Christianity during a time when Europe was too weak to accomplish the task.  [MASK] [SEP] Byzantine,Hellenistic Mongol Ottoman ottoman hellenistic mongol british gupta byzantine roman,0.5526544451713562 0.17124779522418976 0.16309022903442383 0.016716880723834038 0.015113133937120438 0.005254559684544802 0.002437375718727708
Which empire introduced the Eastern Orthodox Church and the Cyrillic alphabet to Russia?  [MASK] [SEP] Byzantine,Mongol British Gupta gupta british mongol ottoman egyptian german hellenistic,0.4888080060482025 0.3699500858783722 0.06836506724357605 0.005028461571782827 0.0044870320707559586 0.0033951764926314354 0.0032286501955240965
a major characteristic of the renaissance was [MASK] [SEP] humanism,conformity mysticism obedience mystic conform ego sincerity romanesque human integrity,0.47550612688064575 0.21652379631996155 0.0034957551397383213 0.0028267577290534973 0.0016414145939052105 0.0013712720246985555 0.0012589027173817158
Which revolution inspired Karl Marx and Friedrich Engels to express their ideas in The Communist Manifesto?  [MASK] [SEP] Industrial,Scientific Glorious Neolithic neolithic glorious scientific industrial technological ancient subsistence,0.5806084871292114 0.19521383941173553 0.13064831495285034 0.005019921809434891 0.004767068196088076 0.0020176961552351713 0.0017849444411695004
"British control over South Africa, French control over Indochina, and Spanish control over Mexico are examples of [MASK] [SEP] imperialism",isolationism appeasement nonalignment non isolation app inter socialism segregation empathy,0.4872343838214874 0.24341177940368652 0.1289982944726944 0.014751039445400238 0.01088001299649477 0.005570544861257076 0.005372082348912954
